zcr,rms,centroid,bw,rolloff,contrast,tonnetz,chroma,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,duration,label,file
0.088855954,0.15896048,2152.846993,2348.95606,4705.203757,22.0030158,0.03609713,0.37756643,-85.420944,97.987206,2.828156,23.005419,1.958483,9.751961,3.2511039,5.634717,-0.86652094,5.4838824,0.41005892,3.9311764,0.7127135,209.90839,Sound,C:\Users\Tejash\OneDrive\Desktop\Sound\audio.wav
0.136170152,0.027597725,2354.718839,2379.272703,4899.057043,20.60953705,0.012628263,0.50259125,-474.8396,33.382732,8.247626,4.18123,-0.84200627,-1.6405554,-8.318103,-5.4077067,-8.2201805,-5.604796,-5.5926895,-3.788956,-2.0380216,3.925351474,Sound,C:\Users\Tejash\OneDrive\Desktop\Sound\audio6.wav
0.124146147,0.01818259,2603.684895,2724.238031,5689.500675,18.23253522,-0.004908979,0.5803457,-463.94003,59.14241,8.13412,12.477257,14.403511,3.1941388,-0.20507605,2.3696089,1.2948807,4.9343886,4.7785144,-1.196688,-0.25553998,4.426938776,Sound,C:\Users\Tejash\OneDrive\Desktop\Sound\audio7.ogg
0.185107341,0.012855215,1250.683435,1287.132933,2359.265157,25.65961484,0.03868523,0.23662609,-610.11926,67.61268,0.56957316,3.7632282,-10.16059,-9.590783,-11.094192,-14.97939,-4.6846304,-6.1235547,-9.694391,-5.862375,-3.44612,13.94,Sound,C:\Users\Tejash\OneDrive\Desktop\Sound\Recording.wav
0.329038192,0.01286758,3824.79829,2210.672963,5569.396384,21.20595296,0.038411946,0.26888075,-609.68134,66.99555,1.1747811,3.170347,-9.577617,-10.163988,-10.529343,-15.53257,-4.1473203,-6.640705,-9.199103,-6.332721,-2.9978707,13.94,Sound,C:\Users\Tejash\OneDrive\Desktop\Sound\Recording1.wav
0.334443408,0.01287386,4014.261045,2251.090513,5749.920583,21.19565374,0.038480483,0.26195782,-607.9296,64.53751,3.5860958,0.8312212,-7.3296995,-12.304108,-8.519974,-17.390984,-2.4516306,-8.156684,-7.8596535,-7.489915,-2.0231824,13.94,Sound,C:\Users\Tejash\OneDrive\Desktop\Sound\Recording2.wav
